id,name,phone,email,city,joined,amount,notes
2055,Zutri Zugus,081363235710,zutri.zugus@example.com,Medan,2026-04-24,27746.22,
2056,Mutri Riyan,081761121283,mutri.riyan@post.example.net,Mataram,2024-01-19,147440.59,
2057,Sulia Kawan,082172129320,sulia.kawan@example.org,Mataram,2025-05-14,13157.13,
2058,Denur Hawan,081209854501,denur.hawan@example.net,Bandung,2025-06-25,141620.25,
2059,Inman Jundra,081784628035,inman.jundra@example.net,Mataram,2024-04-10,203597.75,
2060,Puman Dento,085188882017,puman.dento@mail.example.com,Mataram,2023-05-18,136093.04,
2061,Zunto Jutri,085114241218,zunto.jutri@post.example.net,Mataram,2023-05-09,178674.10,
2062,Butri Sudi,082117886431,butri.sudi@post.example.net,Mataram,2023-03-06,228446.89,
2063,Dendra Nawati,081324868328,dendra.nawati@mail.example.com,Mataram,2026-02-09,"13.095,14",
2064,Wiyan Sundra,081293984602,wiyan.sundra@example.net,Makassar,2025-04-20,136195.15,
2065,"Buman Zuman ",0817-8593-9351,buman.zuman@mail.example.com,Mataram,14.04.2023,236777,
2066,Yatri  Fanur,081151743840,yatri.fanur@example.com,Bandung,2023-06-16,14516.46,
2067,Inmad Deman,+6281104825520,inmad.deman@post.example.net,Mataram,10/03/2023,223427.35,
2068,Sunto Taman,081702491241,sunto.taman@example.net,Mataram,2026-02-08,134038.44,
2069,Gidi Karah,085103618608,gidi.karah@example.com,Mataram,2025-04-06,188659.01,
2070,Kanto Zumad,081308906327,kanto.zumad@post.example.net,Bandung,2023-12-18,45500.11,
2071," Fatri Yawan",085198264062,fatri.yawan@mail.example.com,Medan,06.02.2026,208096.70,
2072,Jundra Inman,081251048308,jundra.inman@example.org,Mataram,2026-03-03,176377.18,
2073,Namad Tawan,081880180584,namad.tawan@mail.example.com,Mataram,2023-07-02,120928.25,
2074,Yanur Falia,081163611994,yanur.falia@mail.example.com,Mataram,2024-03-12,19347.82,
2075,Lolia Zuyan,+6281318627699,"lolia.zuyan@example.org ",Mataram,2025-12-04,11787.59,"VIP, do not discount"
2076,Hatri Mumad,081372556216,hatri.mumad@example.org,Mataram,2026-02-05,175327.66,
2077,Ginto Mutri,089541952088,ginto.mutri@example.net,Bandung,2024-12-20,127449.64,
2078,Fandra Pugus,081260664670,fandra.pugus@example.net,Mataram,2023-02-02,"36.602,03",
2079,Zumad Londra,081353050492,zumad.londra@post.example.net,Mataram,01.05.2025,45378.19,"said ""call after 5pm"""
2080,Sundra Juman,0813-0595-2126,sundra.juman@mail.example.com,Mataram,2024-04-28,84602.15,
2081," Muyan Fayan",081263177175,muyan.fayan@example.com,Mataram,10.03.2023,136036.65,
2082,Nanto Fanto,081706321246,nanto.fanto@example.org,Medan,2023-11-08,60803.73,
2083,Cinto Hasih,081789260943,cinto.hasih@mail.example.com,Mataram,2025-06-02,126856.21,
2084,Cinto Giwan,081792468925,"cinto.giwan@example.net ",Mataram,23.08.2024,107691.82,
2085,Fagus Nanur,085181747857,fagus.nanur@example.net,Mataram,2023-03-25,113232.39,
2086,Farah Sutri,081761907086,farah.sutri@example.net,Bandung,2026-08-08,"70.670,30",
2087,Jundra Pudi,081760426054,jundra.pudi@example.org,Padang,2023-04-27,148901.08,
2088,Zurah Andi,089556611325,zurah.andi@post.example.net,Bandung,2026-06-10,116314.31,
2089,Muman Hanto,081199347609,muman.hanto@example.org,Mataram,2025-07-25,142635.76,
2090,Yawati Kawan,081747961802,yawati.kawan@example.com,Bandung,2026-07-11,4438.73,
2091,Inwati Fandra,081334299696,inwati.fandra@example.com,Makassar,2023-03-24,8321.67,
2092,Juwati Katri,081385591203,juwati.katri@example.org,Surabaya,2024-10-04,161505.42,
2093,Ingus Anlia,081212749426,ingus.anlia@example.org,Mataram,2024-07-11,218598.62,
2094,Juwati Ciyan,085129922266,juwati.ciyan@example.org,Mataram,2026-07-09,45970.96,address unclear
2095,Puwati  Loman,089550782328,puwati.loman@post.example.net,Mataram,2023-07-28,211447,
2096,Sunto Kadi,081706880914,sunto.kadi@post.example.net,Mataram,2024-11-26,91259.69,
2097,Lotri Lotri,081131078699,lotri.lotri@example.com,Mataram,2026-06-01,66697.68,
2098,Delia Muwan,082141040966,delia.muwan@example.org,Makassar,2026-02-23,201002.18,
2099,"Hamad Anman ",081843804184,hamad.anman@example.com,Medan,24.07.2023,"167.281,51",
2100,Cigus Jundra,082156523348,cigus.jundra@post.example.net,Mataram,2026-08-18,30138.49,
2101,Yalia Pumad,081754358447,yalia.pumad@example.com,Mataram,2024-09-22,56820.82,
2102,Yasih Intri,081739588821,yasih.intri@example.com,Denpasar,12.02.2025,"80.066,09",
2103,Buyan Annur,085167703308,buyan.annur@example.net,Medan,2024-11-15,134492.88,
2104,Zuman  Naman,+6289588434349,,Mataram,2024-11-05,193473.55,
2105,Punur Logus,081889089551,punur.logus@mail.example.com,Mataram,2023-05-24,140271.28,
2106,Dewan Fandra,081776007239,dewan.fandra@example.net,Mataram,2023-03-08,120342.35,
2107,Yaman Yalia,081806643585,yaman.yalia@mail.example.com,Mataram,2024-01-14,200422.14,
2108,Loman Taman,+6281166080217,loman.taman@post.example.net,Mataram,2026-03-23,204815.63,
2109,Rimad Sulia,081179232925,rimad.sulia@example.net,Mataram,2025-06-13,132382.86,
2110,Inwati Hayan,085163177261,inwati.hayan@post.example.net,Mataram,2026-08-25,46966.07,
2111,Kadi Dento,081704324682,kadi.dento@post.example.net,Mataram,2024-08-05,187864.10,
2112,Rinur Anmad,081305499200,rinur.anmad@example.org,Mataram,2025-07-03,49819.19,
2113,Winto Naman,085108208396,winto.naman@post.example.net,Mataram,2025-11-19,237047.01,
2114,Mudi Tanto,081869047493,mudi.tanto@mail.example.com,Mataram,2024-01-22,131238.51,
2115,Zulia Winto,081282495636,zulia.winto@example.org,Mataram,2026-04-20,64418.43,
2116,Nanto Cinto,082114749507,nanto.cinto@example.net,Mataram,2024-10-06,1046.46,
2117,Harah Tasih,081758644845,harah.tasih@mail.example.com,Mataram,2025-10-14,45448.38,
2118,Sumad Yanur,081300435029,sumad.yanur@example.com,Surabaya,2023-05-23,153640.57,
2119,Rindra Hanto,0821-3072-4291,rindra.hanto@mail.example.com,Bandung,2024-03-15,210337.03,
2120,Farah Bunto,081342737979,farah.bunto@post.example.net,Mataram,2023-05-18,48525.90,
2121,Yawan Rinto,081193622624,yawan.rinto@example.com,Mataram,2023-03-05,109425.11,
2122,Tatri Muyan,081322033386,tatri.muyan@example.net,Mataram,2026-03-09,100705.80,
2123,Ginto Nandra,081776764624,ginto.nandra@mail.example.com,Mataram,2023-03-20,202336.06,
2124,Annur Sunur,081208613925,annur.sunur@example.net,Mataram,2026-01-09,39558.27,
2125,Antri Jundra,+6281266970208,antri.jundra@mail.example.com,Mataram,2023-05-08,214152.91,
2126,Rimad Gisih,081237057040,rimad.gisih@example.org,Mataram,2025-03-23,206431.73,
2127,Cigus Wisih,081880984123,cigus.wisih@example.net,Mataram,2024-08-23,177406.70,
2128,Namad Hadi,081846518834,namad.hadi@example.net,Mataram,2024-02-28,60692.79,
2129,Kanur Gitri,085127533521,kanur.gitri@example.org,Bandung,2024-03-17,62743.38,
2130,Fawati Bunto,081253193657,fawati.bunto@example.com,Surabaya,2025-11-05,"131.111,50",
2131,Anrah Mumad,081101568139,anrah.mumad@example.org,Medan,2024-08-17,225245.82,
2132,Zuyan Buyan,089504774077,zuyan.buyan@example.net,Mataram,2025-01-16,185409.40,
2133,Intri Riyan,085148977224,intri.riyan@post.example.net,Mataram,2026-08-19,119594.43,
2134,Ginur Sundra,0895-8651-1405,"ginur.sundra@example.net ",Medan,19/02/2025,135931.43,
2135," Kanur Tawati",0895 3018 6563,kanur.tawati@example.org,Mataram,2026-08-27,143539.98,
2136,Yandra Muwan,081788954153,yandra.muwan@example.net,Mataram,12.04.2024,"52.989,34",
2137,Ciyan Dendra,089509239580,ciyan.dendra@post.example.net,Mataram,2026-03-19,70359.14,
2138,"Angus Widi ",081744199048,angus.widi@example.org,Surabaya,2026-01-17,62292.92,
2139,Anwan Anman,082124432204,anwan.anman@example.net,Makassar,2026-06-06,143377.73,
2140,Annur Buman,081740417017,annur.buman@example.com,Mataram,2023-09-02,237000.73,
2141,Hanto Wiman,081810108735,hanto.wiman@post.example.net,Bandung,2026-05-04,47111.79,
2142,Winto Junur,081729569198,winto.junur@example.org,Bandung,2024-08-10,122902.16,
2143,Loyan Hagus,085174153331,loyan.hagus@example.net,Mataram,2025-10-18,101295.77,
2144,"Kamad Hanto ",085108703295,kamad.hanto@mail.example.com,Medan,2024-05-14,"25.569,61",
2145,Kaman Muyan,082132187676,kaman.muyan@example.com,Mataram,2026-01-10,113401.49,
2146,Fanto Citri,081357977595,fanto.citri@mail.example.com,Medan,02.03.2025,148800.66,
2147,Cirah Cinur,081880119077,"cirah.cinur@example.com ",Bandung,2025-06-14,128557.90,
2148,Zuwan Cinto,081127605958,zuwan.cinto@example.com,Bandung,2025-10-03,82185.13,"wants invoice marked ""urgent"""
2149,Handra Ritri,082162446612,handra.ritri@example.net,Mataram,2026-03-02,33539.01,
2150,Yanur Naman,081745239146,yanur.naman@mail.example.com,Makassar,2024-10-18,155665.57,
2151,Kandra Dedi,081141756189,kandra.dedi@post.example.net,Mataram,2025-05-28,70843.29,
2152,Nagus Rilia,081353306250,nagus.rilia@example.com,Mataram,2024-03-09,36027.21,
2153,Sudi  Puwati,0811-6309-3614,sudi.puwati@example.net,Mataram,15/12/2023,"8.740,93",
2154,Innto Famad,081135575781,innto.famad@example.com,Surabaya,2025-12-09,136800.03,
2155,"Wiwan Bundra ",085172095840,"wiwan.bundra@example.org ",Surabaya,2024-04-21,82513.12,
2156,Cinur Bugus,081283314410,cinur.bugus@example.net,Mataram,2025-01-07,21618.34,
2157,Halia Hanto,081886102148,halia.hanto@example.net,Bandung,2023-06-22,123337.95,
2158,Lonto Sundra,081143432424,lonto.sundra@post.example.net,Medan,2026-01-12,74056.20,
2159,Junto Nasih,081852416945,junto.nasih@mail.example.com,Mataram,2023-08-06,45495.99,
2160,Buyan Zundra,0812-0292-7988,,Surabaya,2023-08-06,154887.86,
2161,Cinur Nawati,081813720607,cinur.nawati@example.org,Denpasar,2024-10-19,15358.02,
2162,Fasih Winto,081857132642,fasih.winto@post.example.net,Mataram,2025-12-27,212185.46,
2163,Insih Ginur,081366063175,insih.ginur@mail.example.com,Mataram,2023-04-14,171872.54,
2164,Wiwati Mumad,082154552368,wiwati.mumad@post.example.net,Bandung,2024-04-13,178777.45,
2165,Pugus Murah,082144437532,pugus.murah@mail.example.com,Medan,2025-12-15,183916.76,follow up next week
2166,Hanur Surah,081399651933,hanur.surah@example.org,Mataram,2024-03-12,45810.71,
2167,Giwati Pusih,081833948040,giwati.pusih@post.example.net,Mataram,2026-05-23,100065.75,
2168,Mundra Buwati,081767621103,mundra.buwati@mail.example.com,Mataram,2025-03-11,214108.01,
2169,Rinur Fandra,082178076618,rinur.fandra@example.com,Mataram,2025-11-26,156436.25,
2170,Juwan Mudi,081832172954,juwan.mudi@example.com,Makassar,2024-11-21,225479.05,
2171,Delia Rinto,081324439988,delia.rinto@example.net,Surabaya,2023-05-19,34167.81,
2172,Giman Muman,081745087544,giman.muman@post.example.net,Bandung,2024-10-14,200829.60,
2173,Juwati Ciwati,081842216189,juwati.ciwati@mail.example.com,Mataram,2025-05-14,185086.61,
2174,Anwan Cimad,081733352565,anwan.cimad@example.net,Mataram,2024-11-22,69075.62,
2175,Muwan Inndra,081732888454,muwan.inndra@post.example.net,Mataram,25.06.2025,141384,
2176,Gidi Yanur,081709177204,gidi.yanur@example.org,Mataram,2026-03-08,36023.05,
2177,Inrah Gitri,081841325129,inrah.gitri@post.example.net,Bandung,2025-01-18,212184.59,
2178,Tarah Munur,081787732349,tarah.munur@example.org,Makassar,2023-12-27,83650.71,
2179,Winur Farah,081255479594,winur.farah@example.com,Mataram,18.02.2026,217907.61,
2180,Rinto Inrah,081186350495,rinto.inrah@example.org,Medan,2023-07-04,11309.83,
2181,Lolia Nanto,082132282561,lolia.nanto@example.net,Surabaya,2024-09-07,13435.42,
2182,Ritri Junto,089575928391,ritri.junto@example.org,Mataram,2026-05-23,235005.71,
2183,Yarah Kawan,089588762993,yarah.kawan@mail.example.com,Mataram,2025-09-17,42486.91,
2184,Lolia Inndra,0821 0881 3122,,Mataram,2023-05-03,121728.95,
2185,Nadi Yanto,085153801398,nadi.yanto@example.org,Surabaya,2023-01-17,180726.29,
2186,Hawan  Jumad,0895-0413-9342,hawan.jumad@example.net,Denpasar,2026-05-11,88324.12,
2187,Widi Yayan,081386130772,widi.yayan@example.net,Mataram,2024-02-05,108497.85,
2188,Sunto Hasih,089598731351,sunto.hasih@mail.example.com,Mataram,2025-09-19,1740.29,
2189,Busih Dedi,081742217070,busih.dedi@mail.example.com,Mataram,2024-03-15,84381.79,
2190,Inyan Londra,089570043768,inyan.londra@example.org,Mataram,2026-07-25,82991.06,
2191,"Zunur Dedi ",081754951458,zunur.dedi@example.com,Mataram,2026-04-24,175870.63,
2192,Degus  Kandra,081117446150,,Bandung,12/10/2025,18770,
2193,Zudi Zugus,+6281727469641,"zudi.zugus@mail.example.com ",Medan,2026-02-05,27296.56,
2194," Rimad Lonur",082105567135,rimad.lonur@example.org,Mataram,2024-11-09,173661.96,
2195,Rilia Munur,082137703651,rilia.munur@post.example.net,Mataram,2023-06-06,207517.86,
2196,Juwati Desih,0818 9926 1147,juwati.desih@post.example.net,Mataram,2026-04-11,"76.805,92",
2197,Rinto Cindra,082130293282,rinto.cindra@example.com,Bandung,2026-05-25,334.33,
2198,Yarah Windra,081725058237,yarah.windra@example.com,Mataram,2024-11-16,88576.36,no answer on the number given
2199,Gidi Sunto,0851-8293-8428,,Mataram,01.08.2025,225539.35,
2200,Annto Hagus,081304280235,annto.hagus@example.org,Mataram,2026-08-09,"98.205,50",
2201,Wiman Handra,082188478802,wiman.handra@example.com,Mataram,2025-07-04,77919.18,
2202,Citri Zusih,082105327390,citri.zusih@example.com,Makassar,2024-01-16,"85.824,36",
2203,Cigus  Bunto,+6281374421849,cigus.bunto@MAIL.EXAMPLE.COM,Mataram,2024-09-04,160245.63,
2204,"Gimad Losih ",082168442423,gimad.losih@POST.EXAMPLE.NET,Bandung,2025-08-24,"18.687,83",
2205,Busih Zundra,081109599000,busih.zundra@post.example.net,Mataram,2023-05-23,197833.99,
2206,Bundra Zuwan,081189680751,bundra.zuwan@post.example.net,Mataram,2024-06-12,132769.06,
2207,Dento Riman,081173019720,dento.riman@mail.example.com,Bandung,20/06/2025,34575.16,
2208,Dento Hawati,081815687407,dento.hawati@example.org,Padang,2025-06-19,59162.32,
2209,Nanto Puyan,082195295375,nanto.puyan@example.com,Bandung,2024-05-04,96881.18,
2210,Denur Yarah,081360201331,denur.yarah@example.com,Medan,2023-05-16,98079.10,no answer on the number given
2211,Cirah Bumad,081236870266,cirah.bumad@mail.example.com,Mataram,2025-12-10,201013.71,
2212,Riman Wimad,082146746016,riman.wimad@mail.example.com,Mataram,2026-04-15,177080.10,
2213,Tawan Musih,081876750448,tawan.musih@example.com,Medan,2025-04-04,126913.99,
2214,Sundra Cirah,081871268895,sundra.cirah@example.org,Mataram,2024-05-02,187992.69,
2215,Lonto Yatri,081387752023,lonto.yatri@post.example.net,Mataram,2024-05-17,55007.17,
2216,Yamad Anwati,085194706852,yamad.anwati@example.net,Mataram,2024-09-12,223088.85,
2217,Ciwati Pulia,081729922884,ciwati.pulia@mail.example.com,Makassar,2024-05-06,115256.51,
2218,Halia  Yalia,081744836756,halia.yalia@example.com,Mataram,2023-06-26,116204.94,
2219," Giyan Anlia",081797494769,giyan.anlia@post.example.net,Mataram,27.06.2025,68127,
2220,Jurah Sumad,081736172435,jurah.sumad@example.com,Medan,2025-12-21,53730.58,
2221,Risih Mutri,081831197869,risih.mutri@example.org,Mataram,2023-08-04,202499.63,"wants invoice marked ""urgent"""
2222,Mugus Dento,081744297921,mugus.dento@example.com,Bandung,2025-07-08,4970.17,
2223,Denur Rindra,085122553426,denur.rindra@example.net,Medan,2024-02-16,211549.56,"prefers WhatsApp, not email"
2224,Fayan Zuyan,085128386464,fayan.zuyan@example.com,Mataram,2024-09-07,151063.41,address unclear
2225,Zumad Innur,081836774857,zumad.innur@example.com,Mataram,2025-12-21,102984.62,
2226,Wiyan Kaman,085146918224,wiyan.kaman@post.example.net,Mataram,2025-06-13,173744.56,
2227,Kadi Zuman,0895 0942 5726,kadi.zuman@example.net,Mataram,05/12/2024,9413.36,
2228,Kanto Wirah,089501359334,kanto.wirah@example.com,Semarang,2025-09-22,173263.53,
2229,Riwan Suyan,089549311207,riwan.suyan@example.com,Surabaya,2023-07-09,41439.63,
2230,Innur Faman,081233293646,innur.faman@mail.example.com,Makassar,2023-02-17,2026.66,
2231,Inrah Taman,081731501471,inrah.taman@post.example.net,Medan,2024-08-10,21211.33,"wants invoice marked ""urgent"""
2232,Hawati Suwati,085190030481,hawati.suwati@example.org,Denpasar,2025-07-22,140167.56,
2233,Anwati Tawan,0817-0689-5121,anwati.tawan@example.org,Mataram,2024-05-16,243685.51,
2234,Innur Cimad,081840336936,innur.cimad@example.net,Mataram,2024-02-10,62990.51,
2235,Buwati Jurah,082192774668,buwati.jurah@example.org,Mataram,2023-08-26,195653.73,
2236,Demad Rinur,089501632105,demad.rinur@mail.example.com,Mataram,2023-08-10,32674.83,
2237,Zutri Fawan,082115123179,zutri.fawan@example.net,Mataram,2025-01-15,224382.12,
2238,Ciwan Puman,081388271295,ciwan.puman@mail.example.com,Mataram,21.10.2025,"39.747,58",
2239,Kayan Gigus,081815150507,kayan.gigus@example.org,Mataram,2025-03-07,126090.66,
2240,"Jutri Zuman ",081280152971,jutri.zuman@example.net,Mataram,2024-03-02,"44.880,16",
2241,Judi Sunto,081228659334,judi.sunto@example.org,Bandung,2023-04-15,67405.32,
2242,Falia Narah,081775503290,falia.narah@mail.example.com,Denpasar,2024-01-09,152579.50,
2243,Cilia Cimad,081369634847,cilia.cimad@example.org,Mataram,2024-05-09,154177.73,
2244,Yarah Cinto,081875751427,yarah.cinto@example.org,Makassar,2024-03-14,174915.83,
2245,Gigus Yanur,089547111575,gigus.yanur@example.net,Mataram,2026-03-17,89260.42,
2246,Pusih Inlia,089592092474,pusih.inlia@post.example.net,Denpasar,2025-11-23,35174.93,
2247,Fagus Londra,081231104178,fagus.londra@example.com,Mataram,2025-08-08,113188.54,
2248," Kalia Gilia",081146933239,kalia.gilia@example.net,Mataram,12/12/2025,232484.94,
2249,Munur Zudi,081749272795,munur.zudi@example.com,Denpasar,2024-05-26,199302.90,
2250,Rinur Falia,081880637389,rinur.falia@example.com,Mataram,2025-12-22,57694.51,
2251,Zumad Hayan,081748877264,zumad.hayan@example.org,Semarang,2023-07-18,36486.21,
2252,Sumad Tanto,089593946122,sumad.tanto@mail.example.com,Mataram,2026-03-06,37666.50,
2253,Zusih Loyan,081856017836,zusih.loyan@mail.example.com,Semarang,2025-03-18,16932.51,
2254,Loman Wiwati,081209751761,loman.wiwati@example.com,Makassar,05.07.2024,115489.88,
2255,Nasih Zurah,081705451877,nasih.zurah@example.org,Mataram,2023-11-06,114735.37,
2256,Fadi Giwan,081261628363,fadi.giwan@example.org,Semarang,2026-05-06,127208.72,
2257,"Yawati Zusih ",0813-3431-6182,yawati.zusih@example.net,Padang,19/10/2025,123413.02,
2258,Lomad  Yanto,081744677843,lomad.yanto@example.com,Mataram,2026-06-18,9064.86,
2259,Kanto Karah,081240058847,kanto.karah@example.net,Medan,2026-01-19,6831.44,
2260,Ciman Zurah,0821-2789-9804,ciman.zurah@example.org,Mataram,2023-05-27,90727,
2261,Giman Intri,0818-3135-0548,giman.intri@mail.example.com,Mataram,28.01.2025,221115.72,
2262,Buyan Fadi,081778851587,buyan.fadi@example.org,Mataram,2026-06-05,206046.36,
2263,Rinto Sulia,081332511027,rinto.sulia@example.com,Padang,2025-07-14,71122.97,
2264,Sunto Anyan,089564060200,sunto.anyan@post.example.net,Makassar,2023-11-27,158179.45,
2265,Giwati Inmad,089549318198,giwati.inmad@example.com,Surabaya,2026-04-21,213795.21,
2266,"Harah Wilia ",081858797216,harah.wilia@EXAMPLE.NET,Bandung,2026-04-24,3797.08,
2267,Juyan Fadi,081818845866,juyan.fadi@post.example.net,Mataram,2024-04-07,129176.74,
2268,Tamad Hanur,085122260116,tamad.hanur@example.net,Mataram,2023-06-19,237461.34,
2269,Ginur Wimad,081750920147,ginur.wimad@example.com,Surabaya,2026-02-23,175471.43,
2270,Londra Dento,081238051313,londra.dento@mail.example.com,Mataram,2026-08-09,197989.72,
2271,Gitri Gimad,0813 4503 6279,gitri.gimad@post.example.net,Mataram,2024-04-12,238175.71,
2272,Windra Katri,081765748904,windra.katri@post.example.net,Medan,2026-08-25,85809.88,
2273,Jundra Puwan,081840305015,jundra.puwan@post.example.net,Denpasar,2026-01-05,242881.89,
2274,Gimad Tanur,081790580422,gimad.tanur@example.com,Mataram,2026-06-17,218077.55,
2275,Cilia Muman,081221118545,cilia.muman@post.example.net,Surabaya,2025-08-26,13973.36,
2276,Zulia Witri,085168832754,zulia.witri@example.com,Mataram,2024-04-28,16523.71,
2277,Jutri Insih,081286128104,"jutri.insih@example.com ",Surabaya,15.09.2024,98142.69,
2278,Anwati Ginto,081169959248,anwati.ginto@example.org,Mataram,2025-05-21,165834.67,
2279,Anrah Lonto,081387065229,anrah.lonto@example.org,Mataram,2023-08-08,93100.49,
2280,Sudi Giman,085135370717,sudi.giman@example.org,Mataram,2025-07-06,3254.57,
2281,"Dento Cimad ",+6281342197226,dento.cimad@example.com,Mataram,12/12/2023,86873.74,
2282,Mutri Kaman,081298868520,mutri.kaman@EXAMPLE.ORG,Bandung,2023-01-24,187111,
2283," Yadi Nagus",0851 2908 9269,yadi.nagus@example.net,Mataram,2025-07-05,"128.671,27",
2284,Antri Cindra,081858767819,antri.cindra@example.com,Mataram,17/01/2026,9983,
2285,Pulia Annur,089553783275,pulia.annur@example.net,Mataram,2023-11-13,139656.61,
2286,Hanto Giyan,081384956266,hanto.giyan@post.example.net,Mataram,2023-03-25,70960.17,
2287,Mudi Mugus,081308432972,mudi.mugus@post.example.net,Mataram,2025-03-21,206362.46,
2288,Zunto Munto,081240206175,zunto.munto@example.net,Mataram,03.01.2024,46931.26,
2289,Puwati Indi,081382045488,puwati.indi@mail.example.com,Mataram,2023-12-02,200536.77,
2290,Deman Ritri,081178866974,deman.ritri@post.example.net,Medan,2026-05-12,205922.09,
2291,Kadi Logus,0813-7235-2045,kadi.logus@post.example.net,Surabaya,09.11.2024,49673.06,
2292,Muyan Sunto,085141006574,muyan.sunto@mail.example.com,Mataram,2025-12-24,91501.96,
2293,Riyan Zuyan,082190485348,riyan.zuyan@example.com,Mataram,2026-04-10,2328.13,
2294,Gindra Kamad,081300552209,gindra.kamad@example.com,Mataram,2023-04-04,249113.84,
2295,Yayan Giyan,082165000125,yayan.giyan@example.org,Mataram,2024-04-11,128718.89,follow up next week
2296,Windra Cinur,081871849966,windra.cinur@example.org,Mataram,2026-05-18,83042.03,
2297,Tawan Giyan,081134782105,tawan.giyan@example.org,Mataram,2025-07-02,159006.68,
2298,Desih Ingus,081209543599,desih.ingus@example.org,Mataram,2024-04-01,204678.30,
2299,Haman Nawan,081329976853,haman.nawan@example.com,Mataram,2026-08-16,161716.09,
2300,Loyan Harah,089501931109,loyan.harah@example.com,Mataram,2025-02-12,184646.60,
2301,Bundra Winto,082138168750,bundra.winto@example.org,Mataram,2024-01-22,129679.22,
2302,Wiman Lowan,081722770527,wiman.lowan@example.org,Mataram,2023-03-04,144285.65,
2303,Famad Yawati,081355616162,famad.yawati@example.net,Surabaya,2026-01-26,17840.05,
2304,Dewan Rindra,081799407926,dewan.rindra@example.net,Mataram,2026-01-11,15812.81,
2305,Haman Yalia,081213731874,haman.yalia@example.org,Mataram,2023-12-28,232851.91,
2306,Giwati Junur,085170909673,giwati.junur@example.net,Padang,2023-10-27,62312.46,
2307,Insih Sugus,081300444409,insih.sugus@example.org,Mataram,2025-01-11,192245.95,
2308,Gigus Sunto,081811912430,gigus.sunto@example.org,Mataram,2025-07-03,100927.08,
2309,Ansih Anlia,082102151517,ansih.anlia@post.example.net,Mataram,2023-06-14,86532.44,
2310,Fatri  Sumad,081319884470,fatri.sumad@post.example.net,Mataram,23/05/2024,23575,
2311,Juwan Sunto,081774688438,juwan.sunto@example.com,Mataram,2024-01-25,195672.97,
2312,Juyan Karah,081172088882,juyan.karah@example.net,Mataram,2023-07-26,219310.26,
2313,Tanur Sutri,081744440926,tanur.sutri@example.org,Mataram,2025-12-25,221077.13,
2314,Kawati Ingus,081144536701,kawati.ingus@example.org,Mataram,2026-04-09,59739.15,
2315,Yaman Fawan,081830144627,yaman.fawan@mail.example.com,Mataram,2026-04-20,108310.36,
2316,Sudi Fasih,089573504686,sudi.fasih@mail.example.com,Mataram,2024-08-19,56996.88,
2317,Mugus Innur,081338470549,mugus.innur@example.net,Mataram,2023-07-06,240647.10,
2318,Windra Pulia,082127333832,windra.pulia@mail.example.com,Denpasar,2026-07-02,57440.96,"VIP, do not discount"
2319,"Rilia Cisih ",081828834341,rilia.cisih@mail.example.com,Bandung,2026-01-15,82401.27,
2320,Nawati Dewati,081720882198,nawati.dewati@example.net,Mataram,2026-06-13,248885.25,
2321,Cimad Talia,081129040980,cimad.talia@example.org,Semarang,17.08.2025,152327.15,
2322,Pulia Punto,085146125274,pulia.punto@post.example.net,Mataram,2025-01-23,160000.82,
2323,Rilia Anman,089579405957,rilia.anman@example.net,Makassar,2025-03-05,204516.17,
2324,Lonto Losih,081716624231,lonto.losih@example.org,Makassar,2025-11-20,24721.18,
2325,Bulia Yanur,082127278406,bulia.yanur@mail.example.com,Mataram,2023-09-10,105673.95,
2326,Dento Fanur,082159747841,dento.fanur@post.example.net,Bandung,2023-09-10,18662.39,
2327,Yanto  Ginto,081171345400,yanto.ginto@EXAMPLE.NET,Medan,2024-09-23,94153.15,
2328,Innto Jutri,081352257259,innto.jutri@mail.example.com,Bandung,2025-09-18,3977.11,
2329,Bulia Annto,081333065020,bulia.annto@example.com,Medan,2023-12-03,95680.52,
2330,Kanto Pundra,081243012842,kanto.pundra@mail.example.com,Mataram,2024-05-14,64768.25,
2331,Natri Zundra,081341724922,natri.zundra@post.example.net,Mataram,2023-09-18,77119.66,
2332,Dento Winto,082121678054,dento.winto@post.example.net,Mataram,2024-04-06,209223.02,
2333,Giyan Rinur,+6281824592125,giyan.rinur@example.net,Semarang,06/05/2026,3890.42,
2334,Fayan Tayan,081331979431,fayan.tayan@example.org,Medan,2024-11-26,155178.01,
2335,Dewati Nandra,081831359486,dewati.nandra@post.example.net,Mataram,2026-01-28,63581.32,
2336,Antri Deyan,085176485279,"antri.deyan@mail.example.com ",Mataram,20.05.2024,"176.171,07",
2337,Loyan Deyan,089591820552,loyan.deyan@example.org,Semarang,2023-07-18,222849.75,
2338,Junto Yamad,081197707740,junto.yamad@example.net,Mataram,2023-03-11,19464.16,
2339,Zundra Yamad,081703386523,zundra.yamad@example.org,Mataram,2023-04-01,148352.54,
2340,Lorah Busih,081384535846,lorah.busih@post.example.net,Denpasar,2024-05-15,29269.00,"wants invoice marked ""urgent"""
2341,Zuwan Fatri,081322305934,"zuwan.fatri@example.net ",Mataram,03/07/2025,115471,"prefers WhatsApp, not email"
2342,Kanto Katri,081710071714,"kanto.katri@example.net ",Makassar,2024-07-03,19865.22,
2343,"Cilia Kawati ",0818-5756-1986,cilia.kawati@mail.example.com,Bandung,2023-10-13,225292,
2344,Taman Buwan,085198181821,taman.buwan@example.net,Mataram,2023-04-27,1335.47,
2345,Innur Innto,082112124060,innur.innto@example.com,Mataram,2024-02-08,146406.68,
